reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2023,1(c),10.4494,43.3822,Carbon dioxide (CO2),675566700.0,234.7079187361305,0,1,0,0,0,0,0,0
2022,7(a),12.5803,46.0297,Ammonia (NH3),23927.0,458.93938622243024,0,0,1,0,0,0,0,0
2023,5(d),12.7903,43.9042,Methane (CH4),190000.0,223.82882453110514,0,0,0,0,0,0,0,1
2024,7(a),10.9472,45.1469,Ammonia (NH3),14619.0,381.7189715643206,0,0,1,0,0,0,0,0
2022,3(e),9.6395,45.5201,Ammonia (NH3),26204.0,463.0780622267851,0,0,0,1,0,0,0,0
2021,7(a)(ii),12.3494,42.9883,Ammonia (NH3),10398.0,121.30319945325682,0,0,1,0,0,0,0,0
2022,7(a),9.8467,45.235,Ammonia (NH3),59000.0,427.56048759605676,0,0,1,0,0,0,0,0
2024,2(b),10.459167,45.4625,Zinc and compounds (as Zn),635.6671,428.34294478117357,0,0,0,0,0,0,1,0
2024,7(a),15.672375,41.167683,Ammonia (NH3),7.422288,276.68076729342255,0,0,1,0,0,0,0,0
2022,1(c),9.6491,45.2219,Carbon dioxide (CO2),1024162035.8,434.4931203224939,0,1,0,0,0,0,0,0
2022,7(a)(ii),9.8925,45.2036,Ammonia (NH3),10042.0,422.7253223266113,0,0,1,0,0,0,0,0
2023,7(a),11.4296,45.2875,Ammonia (NH3),12503.0,386.03163986552266,0,0,1,0,0,0,0,0
2024,3(c),15.180555,37.194444,Nitrous oxide (N2O),10766.1,571.8128643506107,0,0,0,1,0,0,0,0
2021,7(a),10.2192,45.3619,Ammonia (NH3),20450.0,426.0185285792725,0,0,1,0,0,0,0,0
